country,iso3,geo,is_eu27,year,sex,age_group,unemployment_rate
Croatia,HRV,HR,True,2010,Female,Overall (15-74),12.5
Croatia,HRV,HR,True,2010,Male,Overall (15-74),11.0
Croatia,HRV,HR,True,2010,Total,Overall (15-74),11.7
Croatia,HRV,HR,True,2011,Female,Youth (15-24),36.1
Croatia,HRV,HR,True,2011,Male,Youth (15-24),36.2
Croatia,HRV,HR,True,2011,Total,Youth (15-24),36.1
Croatia,HRV,HR,True,2011,Female,Overall (15-74),13.6
Croatia,HRV,HR,True,2011,Male,Overall (15-74),13.5
Croatia,HRV,HR,True,2011,Total,Overall (15-74),13.6
Croatia,HRV,HR,True,2012,Female,Youth (15-24),42.3
Croatia,HRV,HR,True,2012,Male,Youth (15-24),42.6
Croatia,HRV,HR,True,2012,Total,Youth (15-24),42.5
Croatia,HRV,HR,True,2012,Female,Overall (15-74),16.0
Croatia,HRV,HR,True,2012,Male,Overall (15-74),16.2
Croatia,HRV,HR,True,2012,Total,Overall (15-74),16.1
Croatia,HRV,HR,True,2013,Female,Youth (15-24),51.0
Croatia,HRV,HR,True,2013,Male,Youth (15-24),50.1
Croatia,HRV,HR,True,2013,Total,Youth (15-24),50.5
Croatia,HRV,HR,True,2013,Female,Overall (15-74),16.8
Croatia,HRV,HR,True,2013,Male,Overall (15-74),17.7
Croatia,HRV,HR,True,2013,Total,Overall (15-74),17.3
Croatia,HRV,HR,True,2014,Female,Youth (15-24),46.6
Croatia,HRV,HR,True,2014,Male,Youth (15-24),45.1
Croatia,HRV,HR,True,2014,Total,Youth (15-24),45.7
Croatia,HRV,HR,True,2014,Female,Overall (15-74),18.3
Croatia,HRV,HR,True,2014,Male,Overall (15-74),16.3
Croatia,HRV,HR,True,2014,Total,Overall (15-74),17.3
Croatia,HRV,HR,True,2015,Female,Youth (15-24),43.5
Croatia,HRV,HR,True,2015,Male,Youth (15-24),41.5
Croatia,HRV,HR,True,2015,Total,Youth (15-24),42.3
Croatia,HRV,HR,True,2015,Female,Overall (15-74),17.0
Croatia,HRV,HR,True,2015,Male,Overall (15-74),15.5
